NAME,WAR,AB,H,HR,R,RBI,SB,BA,OBP,SLG,OPS,OPS+
Sandy León,2.6,461,117,8,53,43,0,0.254,0.319,0.36200000000000004,0.6809999999999999,81
Hanley Ramírez,37.8,5627,1660,240,962,818,276,0.295,0.366,0.495,0.861,128
Dustin Pedroia,50.7,5594,1683,133,874,662,134,0.301,0.366,0.445,0.8109999999999999,115
Xander Bogaerts,8.9,1847,528,41,266,221,26,0.28600000000000003,0.337,0.41100000000000003,0.7490000000000001,101
Travis Shaw,3.4,706,177,29,94,107,5,0.251,0.312,0.442,0.754,96
Brock Holt,5.3,1317,358,13,184,122,25,0.272,0.332,0.373,0.705,91
Jackie Bradley,8.0,1258,298,40,200,170,22,0.237,0.316,0.409,0.726,94
Mookie Betts,17.6,1458,443,54,248,208,54,0.304,0.355,0.5,0.855,125
David Ortiz,55.4,8640,2472,541,1419,1768,17,0.28600000000000003,0.38,0.552,0.9309999999999999,141
Chris Young,17.4,4354,1033,178,621,552,137,0.237,0.316,0.43200000000000005,0.748,96
Christian Vázquez,0.8,347,81,2,36,32,0,0.233,0.293,0.308,0.602,64
Aaron Hill,24.7,5578,1492,161,729,688,74,0.267,0.324,0.42,0.743,97
Andrew Benintendi,0.6,105,31,2,16,14,1,0.295,0.359,0.47600000000000003,0.835,117
Ryan Hanigan,8.0,1858,465,28,183,202,1,0.25,0.345,0.33399999999999996,0.679,85
Blake Swihart,0.6,350,95,5,56,36,4,0.271,0.32799999999999996,0.386,0.7140000000000001,90
Bryce Brentz,-0.1,87,25,1,13,9,0,0.287,0.311,0.379,0.69,84
Josh Rutledge,-0.9,994,260,20,146,102,23,0.262,0.312,0.397,0.7090000000000001,83
Marco Hernández,-0.3,51,15,1,11,5,1,0.294,0.35700000000000004,0.373,0.73,93
Bryan Holaday,0.3,376,92,5,45,44,1,0.245,0.282,0.34600000000000003,0.628,71
Yoan Moncada,-0.2,19,4,0,3,1,0,0.21100000000000002,0.25,0.263,0.513,35
Deven Marrero,-0.4,65,13,1,8,3,2,0.2,0.257,0.24600000000000002,0.503,36
Rusney Castillo,1.7,317,83,7,45,35,7,0.262,0.301,0.379,0.679,82
Michael Martínez,-1.0,534,105,6,65,42,4,0.19699999999999998,0.24100000000000002,0.266,0.507,37
Pablo Sandoval,19.7,3691,1061,116,441,509,11,0.287,0.33899999999999997,0.451,0.79,117
Ryan LaMarre,-0.6,30,2,0,3,0,0,0.067,0.09699999999999999,0.067,0.163,-54
Mike Miller,-0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,-100
