Name,WAR
Babe Ruth,399
Walter Johnson,337
Cy Young,336
Willie Mays,336
Ty Cobb,319
Hank Aaron,296
Rogers Hornsby,289
Honus Wagner,284
Tris Speaker,280
Ted Williams,279
Stan Musial,263
Eddie Collins,253
Pete Alexander,251
Lou Gehrig,241
Mickey Mantle,238
Lefty Grove,233
Rickey Henderson,231
Kid Nichols,230
Nap Lajoie,227
Mike Schmidt,227
Mel Ott,226
Tom Seaver,220
Greg Maddux,220
Randy Johnson,219
Cap Anson,215
Frank Robinson,211
Christy Mathewson,209
Jimmie Foxx,206
Joe Morgan,202
Eddie Mathews,192
Bert Blyleven,190
Roberto Clemente,190
Phil Niekro,187
Cal Ripken,187
Pedro Martinez,187
Al Kaline,186
Wade Boggs,186
Roger Connor,185
Carl Yastrzemski,184
Johnny Bench,181
Dan Brouthers,180
George Brett,179
Warren Spahn,176
Gaylord Perry,174
Ken Griffey,172
Bob Gibson,170
Eddie Plank,168
Joe DiMaggio,167
George Davis,167
Gary Carter,166
Steve Carlton,166
Jeff Bagwell,164
Charlie Gehringer,159
Carlton Fisk,158
Rod Carew,157
Fergie Jenkins,157
Robin Roberts,156
Ivan Rodriguez,154
Arky Vaughan,150
Tom Glavine,149
Ed Delahanty,149
Brooks Robinson,148
Mike Piazza,147
Ozzie Smith,146
Luke Appling,146
Nolan Ryan,146
Bobby Wallace,145
Johnny Mize,145
Reggie Jackson,144
Barry Larkin,143
Robin Yount,143
Paul Molitor,140
Frank Thomas,139
Ron Santo,139
Paul Waner,139
Tim Keefe,139
Harry Heilmann,138
Frankie Frisch,138
John Smoltz,136
Carl Hubbell,136
Yogi Berra,136
Sam Crawford,134
Ed Walsh,133
Lou Boudreau,132
John Clarkson,132
Al Simmons,132
Billy Hamilton,132
Duke Snider,130
Bob Feller,130
Ryne Sandberg,129
Dazzy Vance,129
Fred Clarke,128
Bill Dickey,128
Tim Raines,128
Ernie Banks,128
Hal Newhouser,128
Jim Palmer,127
Tony Gwynn,127
Craig Biggio,127
Joe Cronin,126
Willie McCovey,126
Ted Lyons,126
Roberto Alomar,126
Amos Rusie,126
Jackie Robinson,126
Vic Willis,125
Stan Coveleski,124
Dennis Eckersley,124
Eddie Murray,124
Home Run Baker,123
Andre Dawson,122
Gabby Hartnett,121
Pee Wee Reese,120
Red Faber,120
Mickey Cochrane,120
Jim Bunning,119
Rube Waddell,119
Richie Ashburn,119
Hank Greenberg,118
Joe Gordon,118
Goose Goslin,117
Juan Marichal,115
Buck Ewing,115
Don Drysdale,115
Mordecai Brown,114
Old Hoss Radbourn,114
Deacon White,114
Dave Winfield,114
Jesse Burkett,113
Joe McGinnity,112
George Sisler,112
Harmon Killebrew,112
Don Sutton,112
Billy Williams,111
Jake Beckley,111
Pud Galvin,109
Hoyt Wilhelm,109
Zack Wheat,108
Bill Terry,107
Jim O'Rourke,107
Early Wynn,106
Whitey Ford,105
Joe Medwick,105
Red Ruffing,105
Willie Stargell,104
Elmer Flick,104
Joe Tinker,103
King Kelly,102
Larry Doby,102
Sandy Koufax,102
Jimmy Collins,101
Ernie Lombardi,100
Eppa Rixey,100
Billy Herman,99
Joe Kelley,99
Willie Keeler,99
Bid McPhee,98
Bobby Doerr,98
Burleigh Grimes,97
Max Carey,96
Tony Perez,95
Enos Slaughter,95
Waite Hoyt,94
Luis Aparicio,94
Monte Ward,94
Frank Chance,94
Roger Bresnahan,94
Kirby Puckett,93
Dave Bancroft,93
Dizzy Dean,93
Ralph Kiner,93
Joe Sewell,91
Mickey Welch,91
Chief Bender,91
Rich Gossage,90
Nellie Fox,89
Johnny Evers,88
Tony Lazzeri,88
Earl Averill,88
Kiki Cuyler,87
Hughie Jennings,87
Travis Jackson,87
Edd Roush,87
Chuck Klein,86
Sam Thompson,85
Addie Joss,85
Orlando Cepeda,83
Jim Rice,83
Harry Hooper,83
Sam Rice,82
Herb Pennock,81
Heinie Manush,78
Roy Campanella,78
Phil Rizzuto,77
Hugh Duffy,77
Hack Wilson,77
Lefty Gomez,76
Bob Lemon,76
Jack Chesbro,75
Earle Combs,75
Rabbit Maranville,73
Lou Brock,71
Red Schoendienst,66
George Kell,66
Rube Marquard,65
Catfish Hunter,65
Jim Bottomley,61
Ross Youngs,61
Pie Traynor,60
Jesse Haines,57
Chick Hafey,57
Bruce Sutter,55
Rollie Fingers,53
Rick Ferrell,53
Bill Mazeroski,52
Ray Schalk,51
Freddie Lindstrom,50
George Kelly,42
Lloyd Waner,35
Tommy McCarthy,28
