,wWAR
Dustin Pedroia,99.9
Jerry Koosman,99.8
Frank Tanana,99.7
David Wells,99.6
Wilbur Cooper,99.5
Lance Berkman,99
Eddie Rommel,99
Joe Kelley,99
Billy Herman,99
Ron Cey,99
Minnie Miñoso,99
Tommy Bridges,99
Willie Keeler,99
Bid McPhee,98
David Wright,98
Bobby Doerr,98
Brian Giles,98
Harry Stovey,98
Felix Hernandez,98
John McGraw,97
Burleigh Grimes,97
Hippo Vaughn,97
Ted Breitenstein,97
Joey Votto,97
Justin Verlander,97
Jose Cruz,97
Kenny Rogers,96
Bob Caruthers,96
Paul Hines,96
Max Carey,96
Mark Teixeira,96
Dizzy Trout,96
Jack Clark,95
Art Fletcher,95
Wally Schang,95
Bert Campaneris,95
Enos Slaughter,95
Jimmy Key,95
Mark Langston,95
Tony Perez,95
David Ortiz,95
Noodles Hahn,94
Stan Hack,94
Norm Cash,94
Monte Ward,94
Jack Powell,94
Fred Lynn,94
Roger Bresnahan,94
Waite Hoyt,94
Fred McGriff,94
Ron Guidry,94
Dennis Martinez,94
Bill Freehan,94
Frank Chance,94
Dwight Gooden,94
Luis Aparicio,94
Bernie Williams,93
Heinie Groh,93
Jim Fregosi,93
Bucky Walters,93
Kirby Puckett,93
Dave Bancroft,93
Bobo Newsom,93
Dizzy Dean,93
Ralph Kiner,93
Jason Giambi,93
Pete Browning,93
Brian Downing,92
Vada Pinson,92
Al Spalding,92
Chief Bender,91
Dutch Leonard,91
Toby Harrah,91
Nomar Garciaparra,91
Frank Viola,91
Mickey Welch,91
Joe Sewell,91
Rich Gossage,90
Luis Gonzalez,90
Charlie Keller,90
Evan Longoria,90
Troy Tulowitzki,90
Tony Phillips,90
Johnny Damon,90
Bartolo Colon,90
Jamie Moyer,89
Nellie Fox,89
Tony Lazzeri,88
Ryan Braun,88
Earl Averill,88
Johnny Evers,88
Edd Roush,87
Travis Jackson,87
Hughie Jennings,87
Cliff Lee,87
Kiki Cuyler,87
Jimmy Sheckard,86
Chuck Klein,86
Cupid Childs,86
Addie Joss,85
Sam Thompson,85
Torii Hunter,85
Carlos Zambrano,84
Ben Zobrist,84
Hardy Richardson,84
George Gore,83
Harry Hooper,83
Orlando Cepeda,83
Jim Rice,83
Ross Barnes,82
Sam Rice,82
Matt Holliday,82
Herb Pennock,81
Miguel Tejada,80
Buster Posey,79
Jimmy Rollins,79
Heinie Manush,78
Jon Lester,78
Roy Campanella,78
Curtis Granderson,78
Hugh Duffy,77
Adrian Gonzalez,77
Phil Rizzuto,77
Hack Wilson,77
Andrew McCutchen,77
Joe Start,76
Lefty Gomez,76
Bob Lemon,76
Earle Combs,75
Max Scherzer,75
Jack Chesbro,75
Placido Polanco,74
Smoky Joe Wood,73
Rabbit Maranville,73
Roger Maris,72
Lou Brock,71
Rafael Furcal,71
Ezra Sutton,71
Josh Beckett,70
Omar Vizquel,69
Derek Lowe,68
Red Schoendienst,66
George Kell,66
Chris Carpenter,66
Eric Chavez,66
Catfish Hunter,65
Rube Marquard,65
Dan Haren,65
Billy Wagner,65
Charley Jones,64
Freddy Garcia,63
Barry Zito,62
Cal McVey,61
Kevin Youkilis,61
Ross Youngs,61
Jim Bottomley,61
Pie Traynor,60
Aramis Ramirez,60
Mark Ellis,57
Jesse Haines,57
Chick Hafey,57
Kerry Wood,56
Bruce Sutter,55
Josh Johnson,54
Orlando Hudson,54
Rollie Fingers,53
Livan Hernandez,53
Rick Ferrell,53
Ted Lilly,52
Bill Mazeroski,52
